store,week,category,subcategory,unit,consumption,waste,consumption_with_waste
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Whipped Cream,ml,2.0,0.14,2.14
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Dairy,Whipped Cream (Optional),ml,55.0,3.8500000000000005,58.85
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Specialty Milk,Almond Milk,ml,88.7205,6.210435,94.930935
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Specialty Milk,Coconut Milk,ml,177.441,12.42087,189.86187
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Chocolate Sauce,pump,113.0,0.0,113.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Coconut Syrup,pump,93.0,0.0,93.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Dragon Fruit Syrup,pump,67.0,0.0,67.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Hazelnut Syrup,pump,3.0,0.0,3.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Rose Syrup,pump,4.0,0.0,4.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Sweetner syrup (optional),pump,75.0,0.0,75.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Syrup (Customer's Choice),pump,52.0,0.0,52.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Syrup (Optional),pump,1873.0,0.0,1873.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-12/2026-01-18,Syrups,Vanilla Syrup,pump,2.0,0.0,2.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Coffee,,g,32663.0,2286.4100000000003,34949.41
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-19/2026-01-25,Coffee,,ml,77850.452,5449.531640000001,83299.98364
